Achilles tendon stress,Ankle plantar/dorsiflexion angle,Ankle in/eversion angle,Ankle in/external rotation angle,Ankle plantar/dorsiflexion moment,Ankle in/eversion moment,Ankle power,A/P GRF,M/L GRF,Hip flex/extension angle,Hip in/external rotation angle,Hip in/external rotation moment,Knee flex/extension angle,Knee in/external rotation angle,Ipsi/contralateral pelvis rotation,EMG activation for peroneus longus
8.460433335,21.8609,4.79819,-22.6035,3.64867,-0.304376,13.9482,0.169785,-6.4187,18.9793,12.3949,0.117456,33.6356,23.7439,-18.7221,0.907428752
9.125801811,20.2727,4.43031,-21.0041,3.5259,-0.295983,17.6385,0.147567,-6.72626,16.3613,11.3148,0.11163,31.3213,22.9137,-18.5122,0.897713132
10.17678134,18.2751,4.03335,-19.2381,3.34982,-0.285389,21.1397,0.118387,-6.90227,13.6432,9.92627,0.100098,28.8188,21.9503,-18.0755,0.8870795
12.07582831,15.8377,3.61306,-17.3252,3.1187,-0.272491,23.9992,0.081407,-6.98617,10.8421,8.25086,0.0845982,26.1523,20.8646,-17.4253,0.871855811
16.4114503,12.9455,3.17816,-15.302,2.83178,-0.255099,25.7334,0.039945,-6.89456,7.97603,6.33913,0.068006,23.3544,19.6706,-16.5841,0.851491258
34.9728098,9.60457,2.73993,-13.2222,2.49738,-0.239055,25.9976,-0.00942606,-6.57542,5.06815,4.26479,0.0506313,20.4689,18.3862,-15.5821,0.829525286
28.40789325,9.16078,1.4244,-7.31495,1.59057,-0.47838,-8.5523,-0.508951,-0.906677,32.4244,18.8423,0.0386575,29.7436,-7.28079,-0.985552,0.942486638
15.26954934,10.9137,1.51715,-7.78086,1.64641,-0.475016,-8.81904,-0.56038,0.353886,31.7167,18.5158,0.0279254,31.3264,-6.12671,-1.23087,0.951230526
10.48720809,12.6199,1.58654,-8.12872,1.65372,-0.443998,-8.65154,-0.360395,1.51426,31.0776,18.1135,-0.0441506,32.9376,-5.02192,-1.47072,0.959317697
9.842883166,14.8282,0.880457,-4.56458,2.17895,-0.230209,15.0139,-0.0140269,-3.65381,2.42551,25.2506,-0.0800444,26.0446,-6.68594,-4.82923,0.986100664
12.30245321,12.5814,0.746507,-3.88347,1.9262,-0.196762,14.5959,-0.0540261,-3.46253,0.875285,25.5077,-0.0651101,24.8703,-7.56482,-4.81273,0.984247325
19.62620068,10.1224,0.608432,-3.18021,1.65842,-0.165847,13.5529,-0.075764,-3.18685,-0.671053,25.7433,-0.0513842,23.659,-8.49177,-4.75666,0.981956648
2.923428543,28.3392,4.20948,-29.1466,3.64972,0.237717,14.7506,0.355786,-7.28488,2.0461,19.003,0.125336,33.3137,15.7758,-10.5776,0.977608273
3.093494047,26.4356,3.82197,-27.2267,3.53642,0.231837,21.1828,0.362725,-7.82438,-0.528169,18.6755,0.131133,30.3723,13.785,-10.4967,0.972797488
3.344903593,23.8623,3.39222,-25.0162,3.3398,0.213283,27.3421,0.278177,-8.18388,-3.06823,17.9821,0.13977,27.2961,11.5139,-10.2315,0.966408413
3.796947557,20.5361,2.92104,-22.4964,3.06533,0.187004,32.1755,0.106847,-8.31414,-5.57054,16.9973,0.149257,24.1177,8.9812,-9.81485,0.959224201
4.813292239,16.3923,2.4168,-19.6929,2.70831,0.155999,34.3044,-0.073389,-8.13438,-8.02274,15.8492,0.157882,20.8799,6.21254,-9.28183,0.950945175
8.807680022,11.4137,1.89671,-16.6934,2.28313,0.119676,32.9471,-0.232443,-7.56107,-10.4002,14.6737,0.165296,17.651,3.26864,-8.66795,0.941279653
3.84913044,13.9045,0.0625289,-2.07288,1.69822,-0.196791,-7.78854,3.14699,-1.76109,38.8338,-10.6661,-0.229929,37.4809,5.84208,1.72724,0.999098555
